               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11235,            0.045077,                   0,           0.0054359,                0.26,           0.0069695,             0.00181,             0.10266,            0.028978,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.090231,            0.050905,                   0,           0.0051389,                0.74,            0.012264,            0.002511,            0.077643,            0.026337,                   0,             0.07209,           0.0030898,           0.0030898
                   2,            0.074455,            0.055476,                   0,             0.13899,                 0.2,              0.1031,            0.030194,            0.062171,            0.027033,                   0,            0.057669,            0.004669,            0.004669
                   3,            0.071843,             0.04907,                   0,             0.12957,                 0.3,            0.093367,             0.02572,            0.059018,            0.026401,                   0,            0.043238,           0.0062376,           0.0062376
                   4,            0.067196,             0.04782,                   0,             0.29865,             0.19598,             0.16747,            0.042399,            0.063788,            0.026374,                   0,            0.028796,           0.0077957,           0.0077957
                   5,            0.067582,            0.047999,                   0,             0.46863,             0.44098,              0.4102,             0.11816,            0.052517,            0.021999,                   0,            0.014343,           0.0093433,           0.0093433
                   6,            0.063673,            0.042751,                   0,             0.47288,             0.62804,             0.45405,             0.11791,            0.052356,            0.018629,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.060985,            0.042952,                   0,             0.44255,                0.72,             0.48392,             0.14708,            0.049624,            0.018542,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.056975,            0.037367,                   0,             0.66947,                0.62,             0.64524,             0.17976,            0.048596,            0.017354,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.051955,            0.037574,                   0,             0.39385,                 0.7,             0.36789,            0.088617,            0.060876,             0.01825,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.051353,            0.033642,                   0,             0.43438,                0.76,             0.50339,             0.17861,            0.043996,            0.017502,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.04908,            0.033514,                   0,             0.55434,                0.86,             0.58429,             0.24376,            0.041314,            0.018362,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.045972,            0.029855,                   0,              0.6968,                0.88,             0.78494,             0.34514,            0.037928,            0.015066,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.044004,            0.032935,                   0,             0.75811,              0.8776,             0.78612,             0.30827,             0.04082,             0.01644,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.042156,            0.032604,                   0,             0.76258,             0.89935,              0.7464,             0.31793,            0.037636,            0.015348,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.041523,            0.030632,                   0,              0.7441,                 0.9,             0.74447,             0.32411,             0.03304,            0.014922,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.03757,            0.031601,                   0,             0.77884,                0.86,             0.79834,             0.34452,            0.034663,            0.015572,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.036281,             0.02803,                   0,             0.79812,                0.88,              0.8249,             0.40956,            0.035491,            0.013817,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.038184,             0.02778,                   0,             0.78868,                0.86,             0.84441,             0.40711,            0.035494,            0.012658,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.035672,            0.027907,                   0,             0.77374,                0.94,             0.85194,             0.45165,            0.032132,            0.012298,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.035851,            0.028552,                   0,             0.80029,                0.82,              0.8452,             0.44381,            0.030037,            0.012952,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.034706,            0.027202,                   0,               0.758,             0.75182,             0.81053,             0.48891,            0.026947,            0.013454,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.034682,             0.02805,                   0,             0.77609,                0.84,             0.84695,             0.46327,            0.028219,            0.013767,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.034232,            0.027088,                   0,             0.73787,                0.92,             0.85099,             0.49716,            0.026133,            0.013103,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.034163,             0.02624,                   0,             0.77108,              0.8085,             0.87718,             0.49427,            0.029047,            0.012959,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.032744,            0.027347,                   0,             0.78888,                0.78,             0.83822,             0.49977,            0.027589,            0.013113,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.032414,            0.025355,                   0,             0.77957,             0.84886,             0.82971,              0.5123,            0.026731,            0.013095,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.031719,            0.024977,                   0,             0.70362,                0.88,             0.80594,              0.4788,            0.027898,            0.013781,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.031474,            0.023974,                   0,             0.76153,                0.82,             0.77469,             0.46505,            0.029934,            0.014814,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.031427,            0.026057,                   0,             0.84477,                0.74,             0.79382,             0.47269,            0.026138,            0.014186,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.03128,            0.026253,                   0,             0.81412,             0.78848,             0.79825,              0.4577,             0.02671,             0.01462,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.028709,            0.025299,                   0,             0.83071,                0.78,             0.79999,             0.44548,             0.02927,            0.014347,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.029924,            0.024692,                   0,             0.80289,                0.74,             0.76356,             0.46473,            0.025702,            0.014928,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.029448,            0.027145,                   0,             0.80244,             0.81245,             0.82676,             0.51074,            0.024657,            0.014123,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.02913,            0.024448,                   0,             0.84136,                0.82,             0.84381,             0.50102,            0.025644,             0.01337,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.028256,            0.025966,                   0,             0.85612,             0.83309,             0.84583,             0.54064,            0.025451,            0.013108,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.027624,             0.02456,                   0,             0.82784,                0.86,             0.82852,             0.55745,            0.025948,            0.012382,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.028059,            0.024872,                   0,             0.83685,                0.84,             0.80676,             0.52115,            0.024016,            0.013333,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.026391,            0.023312,                   0,             0.81071,             0.85663,              0.8348,             0.51915,            0.026434,            0.013036,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.027449,            0.025625,                   0,              0.8105,                0.86,             0.81683,             0.53084,            0.025199,            0.013789,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.027859,            0.023837,                   0,             0.82026,             0.82147,             0.82974,             0.49461,            0.025915,            0.014121,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.026299,             0.02273,                   0,             0.78313,                 0.9,             0.84157,             0.52248,              0.0256,            0.013273,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.02691,            0.024687,                   0,             0.80587,             0.91335,             0.87906,             0.52474,             0.02534,            0.013115,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.026035,            0.023555,                   0,             0.79054,                0.94,             0.89186,             0.53263,            0.027173,             0.01258,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027834,            0.023384,                   0,             0.80657,                0.86,             0.89332,             0.58105,            0.025423,            0.012659,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.027075,            0.022524,                   0,             0.82025,                0.84,             0.86538,             0.55206,             0.02468,            0.012731,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.026289,            0.022319,                   0,             0.83931,             0.83576,             0.84245,             0.54599,            0.025533,            0.013384,                   0,            0.008515,            0.008515,            0.008515
